"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Swainsona kingii","http://id.biodiversity.org.au/node/apni/2889078","Swainsona kingii","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Y15260",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Corybas fordhamii","http://id.biodiversity.org.au/name/apni/81710","Corybas fordhamii",,,"Orchids","P","E00794",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia behrii","http://id.biodiversity.org.au/node/apni/2898054","Caladenia behrii","Orchidaceae",,"Orchids","P","Y05140","Pink-lip Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis cucullata ssp. sylvicola","ALA_Pterostylis_cucullata_ssp_sylvicola","Pterostylis cucullata ssp. sylvicola",,,"Orchids","P","G30119","Leafy Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Polystichum proliferum","http://id.biodiversity.org.au/node/apni/2891946","Polystichum proliferum","Dryopteridaceae",,"Ferns & Allies","P","G00047","Mother Shield-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Nymphoides geminata","http://id.biodiversity.org.au/node/apni/2901603","Nymphoides geminata","Menyanthaceae",,"Aquatics","P","K02477","Entire Marshwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Dennstaedtia davallioides","http://id.biodiversity.org.au/node/apni/2891972","Dennstaedtia davallioides","Dennstaedtiaceae",,"Ferns & Allies","P","E04242","Lacy Ground-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Chiloglottis cornuta","NZOR-4-113073","Chiloglottis cornuta","Orchidaceae",,"Orchids","P","K00789","Green Bird-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Calochilus paludosus","NZOR-4-21531","Calochilus paludosus","Orchidaceae",,"Orchids","P","G00787","Red Beard-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra cyanea","NZOR-4-41204","Thelymitra cyanea","Orchidaceae",,"Orchids","P","C00873","Veined Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Psilotum nudum","http://id.biodiversity.org.au/node/apni/2902873","Psilotum nudum","Psilotaceae",,"Ferns & Allies","P","U05218","Skeleton Fork-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pandion cristatus","urn:lsid:biodiversity.org.au:afd.taxon:21464fca-984c-4103-ab72-5f6e9e7d5a2b","Pandion cristatus","Accipitridae",,,"B","K00241","Eastern Osprey (listed as Pandion haliaetus – Osprey under SA NPW Act)","All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).","y","Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).",
"Caladenia clavigera","http://id.biodiversity.org.au/name/apni/90985","Caladenia clavigera",,,"Orchids","P","A00768","Plain-lip Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis despectans","http://id.biodiversity.org.au/node/apni/2901078","Pterostylis despectans","Orchidaceae",,"Orchids","P","U05462","Mt Bryan Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Craspedia paludicola","http://id.biodiversity.org.au/node/apni/6978320","Craspedia paludicola","Asteraceae",,"Aquatics","P","A05560","Swamp Buttons","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Dianella tarda","http://id.biodiversity.org.au/node/apni/2921256","Dianella tarda","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","C05545","Late-flowered Flax-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis cucullata ssp. cucullata","ALA_Pterostylis_cucullata_ssp_cucullata","Pterostylis cucullata ssp. cucullata",,,"Orchids","P","E30118","Leafy Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Asplenium bulbiferum ssp. gracillimum","ALA_Asplenium_bulbiferum_ssp_gracillimum","Asplenium bulbiferum ssp. gracillimum",,,"Ferns & Allies","P","Y00048","Mother Spleenwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia richardsiorum","http://id.biodiversity.org.au/node/apni/2895999","Caladenia richardsiorum","Orchidaceae",,"Orchids","P","E04366","Little Dip Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Callitriche umbonata","http://id.biodiversity.org.au/node/apni/2900062","Callitriche umbonata","Plantaginaceae",,"Aquatics","P","G03419","Water Starwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Tiliqua adelaidensis ","urn:lsid:biodiversity.org.au:afd.taxon:77085c0a-b051-46fa-9e05-2035d0c06bd0","Tiliqua adelaidensis","Scincidae",,,"R","Y02572","Pygmy Blue-tongue Lizard (listed as Pygmy Bluetongue under SA NPW Act)","All known location and burrow records","y","The Pygmy Blue-tongue Lizard is endemic to SA and listed as Endangered under the EPBC and SA NP&W Acts. This is a sedentary species with a restricted distribution. Majority of the known locations (including burrows) have been recorded on private land. The species may become subject to international trade. Data restrictions are consistent with the conservation Objectives of The Action Plan for Australian Reptiles (1993) and National Recovery Plan (2012). ","y"
"Brachyscome muelleri","http://id.biodiversity.org.au/node/apni/2890062","Brachyscome muelleri","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Q02980","Corunna Daisy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia colorata","http://id.biodiversity.org.au/node/apni/2908569","Caladenia colorata","Orchidaceae",,"Orchids","P","A05148","Coloured Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis concinna","http://id.biodiversity.org.au/name/apni/74317","Pterostylis concinna",,,"Orchids","P","K00833","Trim Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis sp. Hale (R.Bates 21725)","http://id.biodiversity.org.au/node/apni/2912861","Pterostylis sp. Hale (R.Bates 21725)","Orchidaceae",,"Orchids","P","W05463","Hale Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum calcicola","http://id.biodiversity.org.au/name/apni/87231","Prasophyllum calcicola",,,"Orchids","P","S00985","Limestone Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Helichrysum rutidolepis","http://id.biodiversity.org.au/node/apni/2890862","Helichrysum rutidolepis","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","M03162","Pale Everlasting","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Schizaea fistulosa","http://id.biodiversity.org.au/node/apni/2917239","Schizaea fistulosa","Schizaeaceae",,"Ferns & Allies","P","S00033","Narrow Comb-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona dictyocarpa","http://id.biodiversity.org.au/node/apni/2889440","Swainsona dictyocarpa","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W01787",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Villarsia umbricola var. beaugleholei","http://id.biodiversity.org.au/node/apni/2913635","Ornduffia umbricola var. beaugleholei","Menyanthaceae",,"Aquatics","P","U03618","Beauglehole's Marsh-flower","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Prasophyllum sp. Enigma (R.Bates 2350)","ALA_Prasophyllum_sp_Enigma_R_Bates_2350","Prasophyllum sp. Enigma (R.Bates 2350)",,,"Orchids","P","Y06292","Goldsack's Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia brumalis","http://id.biodiversity.org.au/node/apni/2918751","Caladenia brumalis","Orchidaceae",,"Orchids","P","W05147","Winter Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis lingua","http://id.biodiversity.org.au/name/apni/74889","Pterostylis lingua",,,"Orchids","P","K06293","Swept-back Rufoushood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Najas tenuifolia","http://id.biodiversity.org.au/node/apni/2899774","Najas tenuifolia","Hydrocharitaceae",,"Aquatics","P","E00098","Water Nymph","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pycnosorus chrysanthes","http://id.biodiversity.org.au/node/apni/2906702","Pycnosorus chrysanthus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Y05484",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia flaccida","http://id.biodiversity.org.au/name/apni/117365","Caladenia flaccida",,,"Orchids","P","M05142","Drooping Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Arthropodium milleflorum","http://id.biodiversity.org.au/node/apni/2902983","Arthropodium milleflorum","Asparagaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A00660","Pale Vanilla-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia ornata","http://id.biodiversity.org.au/node/apni/2902262","Caladenia ornata","Orchidaceae",,"Orchids","P","Y06080","Ornate Pink Fingers","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Chiloglottis trapeziformis","http://id.biodiversity.org.au/name/apni/64836","Chiloglottis trapeziformis",,,"Orchids","P","U00790",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dampiera lanceolata var. intermedia","http://id.biodiversity.org.au/node/apni/2917881","Dampiera lanceolata var. intermedia","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","C04373","Aldinga Dampiera","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Neophema splendida ","urn:lsid:biodiversity.org.au:afd.taxon:c7f54244-9c27-4d8b-bf56-cbc672442d34","Neophema (Neophema) splendida","Psittacidae",,"Parrots","B","G00303",,"All known nest hollows and artificial nest boxes at known breeding sites.","y","These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).",
"Viola betonicifolia ssp. betonicifolia","ALA_Viola_betonicifolia_ssp_betonicifolia","Viola betonicifolia ssp. betonicifolia",,,"Garden Trade -Other Ornamental Horticulture plants","P","Z02151","Showy Violet","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Diuris chryseopsis","http://id.biodiversity.org.au/node/apni/2886701","Diuris chryseopsis","Orchidaceae",,"Orchids","P","Y04392","Cowslip Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Podolepis muelleri","http://id.biodiversity.org.au/node/apni/2909322","Podolepis muelleri","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E03282","Button Podolepis","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia sp. Southeast (R.Bates 66283)","ALA_Caladenia_sp_Southeast_R_Bates_66283","Caladenia sp. Southeast (R.Bates 66283)",,,"Orchids","P","W06263",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Scaevola obovata","http://id.biodiversity.org.au/node/apni/2892967","Scaevola obovata","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","C05041",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia dilatata","ALA_Caladenia_dilatata_s_s","Caladenia dilatata s.s.",,,"Orchids","P","Q06260",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia fragrantissima ssp. fragrantissima","ALA_Caladenia_fragrantissima_ssp_fragrantissima","Caladenia fragrantissima ssp. fragrantissima",,,"Orchids","P","C04365","Scented Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thysanotus tuberosus ssp. parviflorus","ALA_Thysanotus_tuberosus_ssp_parviflorus","Thysanotus tuberosus ssp. parviflorus",,,"Garden Trade -Other Ornamental Horticulture plants","P","U04302","Tuber Fringe-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra matthewsii","http://id.biodiversity.org.au/node/apni/2900535","Thelymitra matthewsii","Orchidaceae",,"Orchids","P","K00869","Spiral Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis sp. Rock ledges (pl. 185, Bates & Weber 1990)","http://id.biodiversity.org.au/name/apni/194722","Pterostylis sp. Rock ledges (pl. 185, Bates & Weber 1990)",,,"Orchids","P","G04403","Rock-ledge Rufoushood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum catenemum","http://id.biodiversity.org.au/name/apni/205752","Prasophyllum catenemum",,,"Orchids","P","S06289","West Coast Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra hygrophila","http://id.biodiversity.org.au/name/apni/230259","Thelymitra hygrophila",,,"Orchids","P","Q32208","Blue Star Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Prasophyllum frenchii","http://id.biodiversity.org.au/node/apni/2888498","Prasophyllum frenchii","Orchidaceae",,"Orchids","P","S06069","Maroon Leek-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Calyptorhynchus funereus","urn:lsid:biodiversity.org.au:afd.taxon:72ca8d75-71da-4751-a5cf-aa07ac3869f7","Calyptorhynchus (Zanda) funereus","Cacatuidae",,"Cockatoos","B","G00267",,"All known nest hollows and artificial nest boxes.","y","These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Pterostylis mirabilis","http://id.biodiversity.org.au/node/apni/2914751","Pterostylis mirabilis","Orchidaceae",,"Orchids","P","K04405","Mount Olinthus Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dipodium campanulatum","http://id.biodiversity.org.au/name/apni/117414","Dipodium campanulatum",,,"Orchids","P","M05178","Bell-flower Hyacinth-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dianella porracea","http://id.biodiversity.org.au/node/apni/2913090","Dianella porracea","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E04826","Pale Flax-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Ixodia achillaeoides ssp. arenicola","ALA_Ixodia_achillaeoides_ssp_arenicola","Ixodia achillaeoides ssp. arenicola",,,"Garden Trade -Other Ornamental Horticulture plants","P","A03564","Sand Ixodia","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona procumbens","http://id.biodiversity.org.au/node/apni/2907326","Swainsona procumbens","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K01801","Broughton Pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
