Plant Pathogen ,,,,,,,,,,,,
Contact mlum@bioplatforms.com if you need assistance filling this sheet.,,,,,,,,,,,,
Facility to fill,Facility to fill,Facility to fill (Leave empty if data is for >1 sample ID),Facility to fill (Leave empty if data is for >1 library ID),Facility to fill,Project Manager to fill,Facility to fill,Facility to fill,Data team to fill,Project Manager to fill,Data team to fill,Project Manager to fill,
AGRF,24/11/2023,,,399031,Ascochyta lentis  ,Illumina short read,20231124_PP_AGRF_CAGRF230514764_22GJJ3LT3 (Partial - 2 samples),24/11/2023,24/11/2023,BPAOPS-1526,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1526,395150_LibID397404  failed library has definitely failed (sample didn’t meet QC from memory either) but it’s been uploaded regardless with a note in the metadata. Data embargo extended to 13 months 
AGRF,30/11/2023,,,399026,"Pectobacterium, Dickeya_NSWDPI",PacBio-HiFi,20231129_PP_AGRF_CAGRF230313993_m84073_231123_073845_s4,01/12/2023,30/11/2023,BPAOPS-1528,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1528,
AGRF,30/11/2023,,,399027,"Pectobacterium, Dickeya_NRETAS",PacBio-HiFi,20231129_PP_AGRF_CAGRF230314005_m84073_231123_073845_s4,01/12/2023,30/11/2023,BPAOPS-1529,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1529 ,
AGRF,30/11/2023,,,399028,Pseudomonas_NSW DPI,PacBio-HiFi,20231129_PP_AGRF_CAGRF230314006_m84073_231123_073845_s4,01/12/2023,30/11/2023,BPAOPS-1530,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1530,
AGRF,19/12/2023,,,399023,Ralstonia,PacBio-HiFi,20231218_PP_AGRF_CAGRF230313883_m84073_231212_121631_s4,20/12/2023,21/12/2023,BPAOPS-1539,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1539,
AGRF,21/12/2023,,,399024,Ralstonia ,Illumina short read,20231221_PP_AGRF_CAGRFCAGRF230313884_22HCNKLT3 (Partial 39 samples),02/01/2024,03/01/2024,BPAOPS-1549,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1549,
AGRF,21/12/2023,,,399024,Ralstonia ,Illumina short read,20231221_PP_AGRF_CAGRFCAGRF230313884_22H7NMLT3(Partial 1 sample),02/01/2024,03/01/2024,BPAOPS-1548,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1548,
ML note: Everything up to this point has been added to the Aus_Genome_status - Bioplatforms Google sheet,,,,,,,,,,,,
AGRF,16/01/2024,,,399053,Ascochyta lentis - failed samples - resequenced,Illumina Short read,20240116_PP_AGRF_CAGRF230514764_22H33VLT3,16/01/2024,16/01/2024,BPAOPS-1551,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1551,
UNSW,18/1/2024,394900,397154,399025,Parastagonospora nodorum,Illumina Short Read (Hi-C),20240108_PP_UNSW_AAFCC5YM5,18/01/2024,18/01/2024,BPAOPS-1553,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1553,
AGRF,09/05/2024,395565,397819,399042,Rhizoctonia solani AG8  ,PacBio-HiFi,20240503_PP_AGRF_CAGRF230715544_m84073_240426_042816_s2,09/05/2024,10/05/2024,BPAOPS-1582,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1582,
AGRF,28/05/2024,,,399018,Pseudomonas,Illumina Short Read,20240528_PP_AGRF_CAGRF221112830_22KMGTLT3,29/05/2024,11/06/2024,BPAOPS-1591,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1591,
BRF,03/06/2024,395839,398105,395839,Plasmodiophora brassicae,Illumina Short Read (Hi-C),20240531_PP_BRF_399055_LD3WL,04/06/2024,11/06/2024,BPAOPS-1592,https://data.bioplatforms.com/dataset?ext_search_by=&q=ticket%3ABPAOPS-1592,
BRF,25/06/2026,,,399044,Puccinia striiformis f.sp. Tritici,PromethION,20240604_PP_BRF_PAQ99770 ,27/06/2024,,BPAOPS-1600,,
BRF,25/06/2026,,,399044,Puccinia striiformis f.sp. Tritici,PromethION,20240611_PP_BRF_PAW31165,27/06/2024,,BPAOPS-1601,,
BRF,25/06/2026,,,399044,Puccinia striiformis f.sp. Tritici,PromethION,20240611_PP_BRF_PAW33991,27/06/2024,,BPAOPS-1602,,
BRF,28/06/2024,,,399044,Puccinia striiformis f.sp. Tritici,PromethION,20240604_PP_BRF_PAW31252,01/07/2024,,BPAOPS-1604,,
BRF,28/06/2024,,,399044,Puccinia striiformis f.sp. Tritici,PromethION,20240611_PP_BRF_PAW31179,,,BPAOPS-1605,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Note for ML: Make sure Data Notification email has the right embargo period: 12 or 18 months.,,,,,,,
,,,,,Sample ID 395908 - no data,,,,,,,
